# Created by LNB-MDT v1.0
# Bubble Height(nm)
# DPPC:DUPC:CHOL=401:240:160
# TYPE:Bubble
# Parameters:{'DPPC': (['PO4'], ['C4B', 'C4A']), 'DUPC': (['PO4'], ['C3A', 'C4B']), 'CHOL': (['ROH'], ['R5'])}K:21
Frames,Values
0,1.466
1,1.471
2,1.479
3,1.473
4,1.485
5,1.461
6,1.45
7,1.454
8,1.472
9,1.476
10,1.479
11,1.462
12,1.472
13,1.492
14,1.484
15,1.483
16,1.481
17,1.47
18,1.469
19,1.481
20,1.486
21,1.461
22,1.461
23,1.465
24,1.476
25,1.462
26,1.479
27,1.499
28,1.484
29,1.475
30,1.477
31,1.473
32,1.475
33,1.473
34,1.465
35,1.467
36,1.479
37,1.477
38,1.477
39,1.479
40,1.482
41,1.472
42,1.48
43,1.484
44,1.482
45,1.486
46,1.477
47,1.485
48,1.482
49,1.461
50,1.482
51,1.488
52,1.472
53,1.47
54,1.489
55,1.484
56,1.493
57,1.465
58,1.48
59,1.484
60,1.477
61,1.486
62,1.464
63,1.495
64,1.472
65,1.498
66,1.491
67,1.488
68,1.499
69,1.493
70,1.499
71,1.498
72,1.491
73,1.486
74,1.494
75,1.488
76,1.483
77,1.499
78,1.479
79,1.472
80,1.484
